<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
YHOO,D,20170502,000000,747.0000000,756.0000000,739.0000000,740.0000000,94,500
YHOO,D,20170503,000000,742.5000000,749.5000000,722.5000000,730.5000000,59,429
YHOO,D,20170504,000000,722.5000000,730.0000000,710.5000000,728.5000000,67,957
YHOO,D,20170505,000000,729.0000000,747.0000000,727.0000000,744.0000000,84,431
YHOO,D,20170510,000000,741.0000000,752.5000000,733.0000000,747.5000000,56,548
YHOO,D,20170511,000000,746.5000000,762.0000000,729.5000000,755.5000000,53,549
YHOO,D,20170512,000000,755.5000000,761.0000000,747.0000000,758.0000000,70,096
YHOO,D,20170515,000000,762.0000000,769.0000000,747.5000000,750.5000000,63,478
YHOO,D,20170516,000000,759.5000000,767.5000000,747.0000000,755.0000000,130,150
YHOO,D,20170517,000000,757.0000000,785.0000000,757.0000000,775.0000000,204,262
YHOO,D,20170518,000000,779.5000000,800.0000000,779.5000000,786.5000000,190,605
YHOO,D,20170519,000000,786.5000000,798.5000000,772.0000000,778.0000000,64,360
YHOO,D,20170522,000000,786.5000000,786.5000000,772.0000000,780.0000000,39,409
YHOO,D,20170523,000000,781.5000000,781.5000000,752.5000000,753.5000000,46,066
YHOO,D,20170524,000000,752.0000000,770.0000000,746.0000000,754.5000000,31,541
YHOO,D,20170525,000000,753.0000000,758.5000000,739.5000000,748.0000000,34,996
YHOO,D,20170526,000000,745.5000000,767.5000000,742.5000000,751.0000000,32,677
YHOO,D,20170529,000000,753.0000000,769.5000000,750.5000000,761.5000000,41,860
YHOO,D,20170530,000000,765.5000000,767.0000000,724.0000000,731.0000000,95,427
YHOO,D,20170531,000000,732.5000000,742.5000000,725.5000000,741.5000000,58,037
YHOO,D,20170601,000000,742.0000000,749.5000000,715.0000000,718.0000000,55,519
YHOO,D,20170602,000000,718.0000000,731.0000000,705.0000000,728.5000000,53,263
